0.240,0.552,0.411,-1.724,2.191,1.374,1.095,-1.362,-4.054,-0.681
0.250,0.574,0.424,-1.713,2.177,1.333,1.088,-1.416,-4.187,-0.708
0.260,0.596,0.437,-1.702,2.162,1.290,1.081,-1.470,-4.317,-0.735
0.270,0.617,0.450,-1.691,2.147,1.247,1.074,-1.523,-4.442,-0.762
0.280,0.639,0.462,-1.681,2.132,1.202,1.066,-1.576,-4.563,-0.788
0.290,0.660,0.474,-1.670,2.116,1.155,1.058,-1.628,-4.679,-0.814
0.300,0.681,0.485,-1.660,2.099,1.108,1.050,-1.680,-4.791,-0.840
0.310,0.702,0.496,-1.649,2.082,1.060,1.041,-1.732,-4.898,-0.866
0.320,0.723,0.507,-1.639,2.065,1.010,1.032,-1.783,-5.000,-0.892
0.330,0.743,0.516,-1.628,2.047,0.960,1.023,-1.834,-5.097,-0.917
0.340,0.764,0.526,-1.618,2.028,0.908,1.014,-1.884,-5.189,-0.942
0.350,0.784,0.535,-1.608,2.009,0.856,1.004,-1.934,-5.276,-0.967
0.360,0.804,0.543,-1.598,1.989,0.803,0.995,-1.983,-5.358,-0.992
0.370,0.824,0.551,-1.588,1.969,0.749,0.985,-2.032,-5.435,-1.016
0.380,0.843,0.558,-1.578,1.949,0.694,0.974,-2.080,-5.506,-1.040
0.390,0.863,0.565,-1.569,1.928,0.639,0.964,-2.128,-5.572,-1.064
0.400,0.882,0.571,-1.559,1.906,0.582,0.953,-2.175,-5.632,-1.088
0.410,0.901,0.576,-1.550,1.884,0.526,0.942,-2.222,-5.687,-1.111
0.420,0.919,0.581,-1.540,1.862,0.469,0.931,-2.268,-5.736,-1.134
0.430,0.938,0.586,-1.531,1.839,0.411,0.919,-2.314,-5.779,-1.157
0.440,0.956,0.589,-1.522,1.815,0.353,0.908,-2.359,-5.817,-1.180
0.450,0.974,0.593,-1.513,1.792,0.295,0.896,-2.404,-5.849,-1.202
0.460,0.992,0.595,-1.504,1.767,0.236,0.884,-2.448,-5.875,-1.224
0.470,1.010,0.597,-1.495,1.743,0.177,0.871,-2.491,-5.895,-1.245
0.480,1.027,0.599,-1.487,1.718,0.118,0.859,-2.534,-5.910,-1.267
0.490,1.044,0.600,-1.478,1.692,0.059,0.846,-2.576,-5.919,-1.288
0.500,1.061,0.600,-1.470,1.666,-0.000,0.833,-2.617,-5.922,-1.309
0.510,1.077,0.600,-1.461,1.640,-0.059,0.820,-2.658,-5.919,-1.329
0.520,1.093,0.599,-1.453,1.613,-0.118,0.806,-2.698,-5.910,-1.349
0.530,1.109,0.597,-1.445,1.586,-0.177,0.793,-2.737,-5.895,-1.369
0.540,1.125,0.595,-1.437,1.558,-0.236,0.779,-2.776,-5.875,-1.388
0.550,1.141,0.593,-1.430,1.530,-0.295,0.765,-2.814,-5.849,-1.407
0.560,1.156,0.589,-1.422,1.502,-0.353,0.751,-2.852,-5.817,-1.426
0.570,1.171,0.586,-1.415,1.473,-0.411,0.737,-2.888,-5.779,-1.444
0.580,1.185,0.581,-1.407,1.444,-0.469,0.722,-2.924,-5.736,-1.462
0.590,1.200,0.576,-1.400,1.415,-0.526,0.707,-2.960,-5.687,-1.480
0.600,1.214,0.571,-1.393,1.385,-0.582,0.692,-2.994,-5.632,-1.497
0.610,1.227,0.565,-1.386,1.355,-0.639,0.677,-3.028,-5.572,-1.514
0.620,1.241,0.558,-1.380,1.324,-0.694,0.662,-3.061,-5.506,-1.531
0.630,1.254,0.551,-1.373,1.294,-0.749,0.647,-3.093,-5.435,-1.547
0.640,1.266,0.543,-1.367,1.263,-0.803,0.631,-3.125,-5.358,-1.562
0.650,1.279,0.535,-1.361,1.231,-0.856,0.616,-3.156,-5.276,-1.578
0.660,1.291,0.526,-1.354,1.199,-0.908,0.600,-3.186,-5.189,-1.593
0.670,1.303,0.516,-1.349,1.167,-0.960,0.584,-3.215,-5.097,-1.607
0.680,1.314,0.507,-1.343,1.135,-1.010,0.568,-3.243,-5.000,-1.622
0.690,1.326,0.496,-1.337,1.103,-1.060,0.551,-3.271,-4.898,-1.635
0.700,1.337,0.485,-1.332,1.070,-1.108,0.535,-3.298,-4.791,-1.649
0.710,1.347,0.474,-1.326,1.037,-1.155,0.518,-3.324,-4.679,-1.662
0.720,1.357,0.462,-1.321,1.003,-1.202,0.502,-3.349,-4.563,-1.674
0.730,1.367,0.450,-1.316,0.970,-1.247,0.485,-3.373,-4.442,-1.687
0.740,1.377,0.437,-1.312,0.936,-1.290,0.468,-3.397,-4.317,-1.698
0.750,1.386,0.424,-1.307,0.902,-1.333,0.451,-3.419,-4.187,-1.710
0.760,1.395,0.411,-1.303,0.867,-1.374,0.434,-3.441,-4.054,-1.721
0.770,1.403,0.397,-1.298,0.833,-1.414,0.416,-3.462,-3.916,-1.731
0.780,1.411,0.382,-1.294,0.798,-1.452,0.399,-3.482,-3.775,-1.741
0.790,1.419,0.368,-1.290,0.763,-1.489,0.382,-3.502,-3.629,-1.751
0.800,1.427,0.353,-1.287,0.728,-1.525,0.364,-3.520,-3.481,-1.760
0.810,1.434,0.337,-1.283,0.693,-1.559,0.346,-3.537,-3.329,-1.769
0.820,1.440,0.321,-1.280,0.657,-1.592,0.329,-3.554,-3.173,-1.777
0.830,1.447,0.305,-1.277,0.622,-1.622,0.311,-3.570,-3.014,-1.785
0.840,1.453,0.289,-1.274,0.586,-1.652,0.293,-3.585,-2.853,-1.792
0.850,1.459,0.272,-1.271,0.550,-1.680,0.275,-3.599,-2.688,-1.799
0.860,1.464,0.255,-1.268,0.514,-1.706,0.257,-3.612,-2.521,-1.806
0.870,1.469,0.238,-1.266,0.478,-1.730,0.239,-3.624,-2.352,-1.812
0.880,1.473,0.221,-1.263,0.442,-1.753,0.221,-3.636,-2.180,-1.818
0.890,1.478,0.203,-1.261,0.405,-1.774,0.203,-3.646,-2.006,-1.823
0.900,1.482,0.185,-1.259,0.369,-1.793,0.184,-3.656,-1.830,-1.828
0.910,1.485,0.167,-1.257,0.332,-1.810,0.166,-3.664,-1.652,-1.832
0.920,1.488,0.149,-1.256,0.295,-1.826,0.148,-3.672,-1.473,-1.836
0.930,1.491,0.131,-1.255,0.259,-1.840,0.129,-3.679,-1.292,-1.839
0.940,1.493,0.112,-1.253,0.222,-1.852,0.111,-3.685,-1.110,-1.842
0.950,1.495,0.094,-1.252,0.185,-1.862,0.092,-3.690,-0.926,-1.845
0.960,1.497,0.075,-1.251,0.148,-1.870,0.074,-3.694,-0.742,-1.847
