time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.985037,0.005895,-0.007183,0.011228
1.990037,0.006410,-0.008571,0.012564
1.995037,0.006864,-0.010785,0.014320
2.000037,0.006950,-0.012354,0.015318
2.005037,0.006730,-0.014792,0.016550
2.010037,0.006308,-0.016334,0.017161
2.015036,0.005287,-0.018337,0.017702
2.020036,0.004408,-0.019420,0.017899
2.025036,0.002896,-0.020604,0.018023
2.030035,0.001816,-0.021042,0.017997
2.035035,0.000186,-0.021131,0.017827
2.040035,-0.000858,-0.020838,0.017628
2.045034,-0.002287,-0.019922,0.017211
2.050034,-0.003117,-0.019059,0.016867
2.055033,-0.004146,-0.017500,0.016252
2.060033,-0.004679,-0.016356,0.015774
2.065033,-0.005239,-0.014574,0.014943
2.070032,-0.005451,-0.013379,0.014305
2.075032,-0.005537,-0.011639,0.013207
2.080032,-0.005450,-0.010544,0.012374
2.085031,-0.005128,-0.009024,0.011004
2.090031,-0.004796,-0.008094,0.010036
2.095031,-0.004157,-0.006831,0.008502
2.100030,-0.003665,-0.006084,0.007461
2.105030,-0.002846,-0.005086,0.005867
2.110029,-0.002282,-0.004509,0.004819
2.115029,-0.001507,-0.003818,0.003446
2.120029,-0.001069,-0.003474,0.002694
2.125028,-0.000574,-0.003128,0.001866
2.130028,-0.000353,-0.002998,0.001523
2.135028,-0.000171,-0.002921,0.001272
2.140027,-0.000137,-0.002930,0.001226
2.145027,-0.000142,-0.002978,0.001316
2.150027,-0.000180,-0.003027,0.001458
2.155026,-0.000234,-0.003090,0.001697
2.160026,-0.000243,-0.003112,0.001779
2.165025,-0.000000,-0.003006,0.001486
2.170025,0.000459,-0.002789,0.000862
2.175025,0.001670,-0.002224,-0.000850
2.180024,0.002775,-0.001709,-0.002400
2.185024,0.004809,-0.000723,-0.005149
2.190024,0.006289,0.000053,-0.007127
2.195023,0.008523,0.001396,-0.010170
2.200023,0.009929,0.002420,-0.012147
2.205023,0.011671,0.004090,-0.014790
2.210022,0.012481,0.005249,-0.016209
2.215022,0.013041,0.006932,-0.017665
2.220021,0.012980,0.007942,-0.018147
2.225021,0.012365,0.009208,-0.018205
2.230021,0.011721,0.009877,-0.017923
2.235020,0.010553,0.010609,-0.017187
2.240020,0.009716,0.010929,-0.016553
2.245020,0.008474,0.011221,-0.015489
2.250019,0.007684,0.011313,-0.014753
2.255019,0.006586,0.011332,-0.013668
2.260019,0.005923,0.011305,-0.012996
2.265018,0.005022,0.011217,-0.012055
2.270018,0.004478,0.011137,-0.011482
2.275017,0.003741,0.011014,-0.010701
2.280017,0.003297,0.010934,-0.010238
2.285017,0.002685,0.010805,-0.009631
2.290016,0.002309,0.010730,-0.009270
2.295016,0.001788,0.010607,-0.008771
2.300016,0.001465,0.010524,-0.008474
2.305015,0.001017,0.010351,-0.008067
2.310015,0.000742,0.010214,-0.007818
2.315015,0.000364,0.009955,-0.007462
2.320014,0.000139,0.009729,-0.007216
2.325014,-0.000151,0.009313,-0.006824
2.330014,-0.000313,0.008994,-0.006553
2.335013,-0.000505,0.008424,-0.006145
2.340013,-0.000595,0.007986,-0.005881
2.345012,-0.000677,0.007262,-0.005457
2.350012,-0.000693,0.006739,-0.005166
2.355012,-0.000663,0.005904,-0.004699
2.360011,-0.000604,0.005318,-0.004358
2.365011,-0.000475,0.004448,-0.003837
2.370011,-0.000369,0.003891,-0.003501
2.375010,-0.000185,0.003103,-0.003002
2.380010,-0.000050,0.002599,-0.002672
2.385010,0.000154,0.001915,-0.002209
2.390009,0.000291,0.001498,-0.001890
2.395009,0.000491,0.000931,-0.001463
2.400008,0.000615,0.000595,-0.001187
2.405008,0.000791,0.000134,-0.000816
2.410008,0.000899,-0.000145,-0.000589
2.415007,0.001041,-0.000501,-0.000288
2.420007,0.001128,-0.000721,-0.000090
2.425007,0.001246,-0.001021,0.000186
